id,name,parent_id
1,Chattagram,0
2,Rajshahi,0
3,Khulna,0
4,Barisal,0
5,Sylhet,0
6,Dhaka,0
7,Rangpur,0
8,Mymensingh,0
9,Comilla,1
10,Feni,1
11,Brahmanbaria,1
12,Rangamati,1
13,Noakhali,1
14,Chandpur,1
15,Lakshmipur,1
16,Chattogram,1
17,Coxsbazar,1
18,Khagrachhari,1
19,Bandarban,1
20,Sirajganj,2
21,Pabna,2
22,Bogura,2
23,Rajshahi,2
24,Natore,2
25,Joypurhat,2
26,Chapainawabganj,2
27,Naogaon,2
28,Jashore,3
29,Satkhira,3
30,Meherpur,3
31,Narail,3
32,Chuadanga,3
33,Kushtia,3
34,Magura,3
35,Khulna,3
36,Bagerhat,3
37,Jhenaidah,3
38,Jhalakathi,4
39,Patuakhali,4
40,Pirojpur,4
41,Barisal,4
42,Bhola,4
43,Barguna,4
44,Sylhet,5
45,Moulvibazar,5
46,Habiganj,5
47,Sunamganj,5
48,Narsingdi,6
49,Gazipur,6
50,Shariatpur,6
51,Narayanganj,6
52,Tangail,6
53,Kishoreganj,6
54,Manikganj,6
55,Dhaka,6
56,Munshiganj,6
57,Rajbari,6
58,Madaripur,6
59,Gopalganj,6
60,Faridpur,6
61,Panchagarh,7
62,Dinajpur,7
63,Lalmonirhat,7
64,Nilphamari,7
65,Gaibandha,7
66,Thakurgaon,7
67,Rangpur,7
68,Kurigram,7
69,Sherpur,8
70,Mymensingh,8
71,Jamalpur,8
72,Netrokona,8
73,Debidwar,9
74,Barura,9
75,Brahmanpara,9
76,Chandina,9
77,Chauddagram,9
78,Daudkandi,9
79,Homna,9
80,Laksam,9
81,Muradnagar,9
82,Nangalkot,9
83,Comilla Sadar,9
84,Meghna,9
85,Monohargonj,9
86,Sadarsouth,9
87,Titas,9
88,Burichang,9
89,Lalmai,9
90,Chhagalnaiya,10
91,Feni Sadar,10
92,Sonagazi,10
93,Fulgazi,10
94,Parshuram,10
95,Daganbhuiyan,10
96,Brahmanbaria Sadar,11
97,Kasba,11
98,Nasirnagar,11
99,Sarail,11
100,Ashuganj,11
101,Akhaura,11
102,Nabinagar,11
103,Bancharampur,11
104,Bijoynagar,11
105,Rangamati Sadar,12
106,Kaptai,12
107,Kawkhali,12
108,Baghaichari,12
109,Barkal,12
110,Langadu,12
111,Rajasthali,12
112,Belaichari,12
113,Juraichari,12
114,Naniarchar,12
115,Noakhali Sadar,13
116,Companiganj,13
117,Begumganj,13
